23:33:49.334 [Test worker] INFO  c.e.r.RecursoshumanosApplicationTest - Started RecursoshumanosApplicationTest in 11.385 seconds (JVM running for 15.403)
23:33:49.834 [Test worker] INFO  c.e.r.RecursoshumanosApplication - Starting RecursoshumanosApplication using Java 17.0.8 on DESKTOP-3997V5C with PID 13620 (started by felip in C:\Users\felip\Desktop\2023-2\Arquitectura de software\recursoshumanos)
23:33:49.835 [Test worker] INFO  c.e.r.RecursoshumanosApplication - No active profile set, falling back to 1 default profile: "default"
23:33:50.295 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23:33:50.315 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 3 JPA repository interfaces.
23:33:50.760 [Test worker] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:33:50.779 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:33:50.783 [Test worker] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:33:50.783 [Test worker] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
23:33:50.989 [Test worker] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:33:50.991 [Test worker] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1150 ms
23:33:51.138 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
23:33:51.142 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
23:33:51.151 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23:33:51.158 [Test worker] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
23:33:51.249 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23:33:51.249 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23:33:51.379 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23:33:51.636 [Test worker] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@43a661f5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33300529, org.springframework.security.web.context.SecurityContextPersistenceFilter@68c889dd, org.springframework.security.web.header.HeaderWriterFilter@4c9a6886, org.springframework.security.web.csrf.CsrfFilter@490857ea, org.springframework.security.web.authentication.logout.LogoutFilter@40d014cd, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@38c5edcc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31a770c3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e66f029, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@335dcb7f, org.springframework.security.web.session.SessionManagementFilter@63f4354e, org.springframework.security.web.access.ExceptionTranslationFilter@7e64fa55, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@28051d05]
23:33:51.661 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:33:51.694 [Test worker] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:33:51.780 [Test worker] INFO  c.e.r.RecursoshumanosApplication - Started RecursoshumanosApplication in 2.026 seconds (JVM running for 17.849)
23:33:51.819 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [co.empresa.recursoshumanos.controller.CertificadoControllerTest], using SpringBootContextLoader
23:33:51.821 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [co.empresa.recursoshumanos.controller.CertificadoControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
23:33:51.821 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [co.empresa.recursoshumanos.controller.CertificadoControllerTest]: CertificadoControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23:33:51.831 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration co.empresa.recursoshumanos.RecursoshumanosApplication for test class co.empresa.recursoshumanos.controller.CertificadoControllerTest
23:33:51.834 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
23:33:51.834 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@582c2124, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@665340f6, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@401d5144, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@48f4158f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@716828b4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@dc0829f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@27fd7512, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4fcd440f, org.springframework.test.context.event.EventPublishingTestExecutionListener@7fd0e8ca, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@768d49d5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3a14e7f3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1fdc3182, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@67b21c0b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7bed22c9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@665b7938]
23:33:51.865 [Test worker] INFO  c.e.r.c.CertificadoControllerTest - Starting CertificadoControllerTest using Java 17.0.8 on DESKTOP-3997V5C with PID 13620 (started by felip in C:\Users\felip\Desktop\2023-2\Arquitectura de software\recursoshumanos)
23:33:51.865 [Test worker] INFO  c.e.r.c.CertificadoControllerTest - No active profile set, falling back to 1 default profile: "default"
23:33:52.203 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23:33:52.224 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 3 JPA repository interfaces.
23:33:52.410 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
23:33:52.413 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
23:33:52.429 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23:33:52.438 [Test worker] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
23:33:52.522 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23:33:52.522 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23:33:52.701 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23:33:53.712 [Test worker] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@17bace0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d8d746c, org.springframework.security.web.context.SecurityContextPersistenceFilter@5a6535d7, org.springframework.security.web.header.HeaderWriterFilter@a37a150, org.springframework.security.web.csrf.CsrfFilter@6818bf62, org.springframework.security.web.authentication.logout.LogoutFilter@19583ef8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@56dd5a52, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7152749e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@46d866c5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@75b0c649, org.springframework.security.web.session.SessionManagementFilter@77ab77ef, org.springframework.security.web.access.ExceptionTranslationFilter@5d6ece53, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f76e662]
23:33:53.870 [Test worker] INFO  c.e.r.c.CertificadoControllerTest - Started CertificadoControllerTest in 2.032 seconds (JVM running for 19.939)
23:33:53.892 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
23:33:53.893 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
23:33:53.894 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
23:33:53.955 [Test worker] INFO  c.e.r.c.CertificadoController - Mostrar Certificados
23:33:54.228 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [co.empresa.recursoshumanos.controller.EmpleadoControllerTest], using SpringBootContextLoader
23:33:54.229 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [co.empresa.recursoshumanos.controller.EmpleadoControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
23:33:54.229 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [co.empresa.recursoshumanos.controller.EmpleadoControllerTest]: EmpleadoControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23:33:54.232 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration co.empresa.recursoshumanos.RecursoshumanosApplication for test class co.empresa.recursoshumanos.controller.EmpleadoControllerTest
